education_id,title,description,date_range,candidate_id,degrees_amt
12,Universidad Nacional del Sur,"Licenciado (equivalent to Masters), Computer Science",1999 – 2005,2112,1
26,Universidad Abierta Interamericana,,,2121,1
60,University of Buenos Aires,"MBA, Industrial managment",2003 – 2005,2138,3
61,ORT,PMI,2003 – 2003,2138,3
62,University of Buenos Aires,"BE, Electrical, Electronic and Communications Engineering Technology/Technician",1993 – 2002,2138,3
169,Facultad de Ciencias Exactas y Naturales - University of Buenos Aires,"Master's degree, Computer Science",1994 – 2004,2189,1
246,"Escuela Nacional de Bellas Artes ""Prilidiano Pueyrredón""","Art Professor, Visual Arts",1989 – 1993,2224,1
263,Agiles 2008,Certified ScrumMaster,2008 – 2008,2232,5
264,Universidad de San Andrés,Management Skills,2007,2232,5
265,Universidad Tecnológica Nacional,"Engineer’s Degree, Information Systems",2007,2232,5
266,IEEE,SCRUM,2007,2232,5
267,IT Mentor,Design Patterns and Object Oriented Design,2006,2232,5
286,Universidad Católica Argentina,Licenciatura en Sistemas,2008 – 2014,2244,1
332,Facultad de Ingeniería (UdelaR),"Engineer's degree, Computación",2001 – 2009,2267,1
367,Universidad Tecnológica Nacional,"Ingeniero en Sistemas de Información, Informatic - Systems",2002 – 2011,2284,4
368,University of Buenos Aires,"Master's degree, Data Mining and Knowledge Discovery, Data Processing and Data Processing Technology/Technician",2016 – 2019,2284,4
369,Universidad Tecnológica Nacional,"Engineer's degree, Computer Programming, Specific Applications",2002 – 2011,2284,4
370,Adecco Specialties S.A.,"Computer Programming/Programmer, General",,2284,4
416,Universidad de Palermo,Systems Analyst,2005 – 2009,2315,1
477,Sun Microsystems,Solaris Administration,2005 – 2005,2340,8
478,Universidad Tecnológica Nacional,Level II C level course,2001 – 2001,2340,8
479,BS Training Center,"Citrix Metaframe Installation and maintenance, Metaframe 1.8 from Citrix.",2000 – 2000,2340,8
480,Nice Systems,Nice Systems Implementations and support for call centers.,2000 – 2000,2340,8
481,Odysoft,Calabrio call center management.,2000 – 2000,2340,8
482,Universidad Tecnológica Nacional,"C development under Unix environments, Software Development",2000 – 2000,2340,8
483,Universidad Nacional de Lomas de Zamora,"Database programming using Visual Fox Pro., Software Development",1999 – 2000,2340,8
484,EET N1 M.M. de Guemes,"Electronics And Telecommunications Technician, Electronics and Telecommunications",1990 – 1995,2340,8
551,Instituto de Tecnología ORT,"System Analyst, Computers",2009 – 2013,2364,2
552,Universidad de Buenos Aires,Graphic Design,2004 – 2009,2364,2
595,Universidad Argentina de la Empresa,"Licenciado, Information Technology",2000 – 2005,2390,2
596,UADE,Computer Software Engineering,1999 – 2004,2390,2
619,Universidad de Buenos Aires,"Licenciatura en Ciencias de la Computación, Ciencias de la computación",,2405,4
620,Universidad de Buenos Aires / UBA,"Analista universitario en Ciencias de la Computación, Ciencias de la Computación",,2405,4
621,Leeds School of English,,1997 – 2002,2405,4
622,"Lenguas Vivas ""JFK"" (Lengüitas)",Bachiller biningüe en Cs y Letras,,2405,4
820,UADE,Analista en Sistemas (Graduado),2015,2505,2
764,E.T. Nº 1 Ing. Otto Krause,"Secondary, Computer Programming",1994 – 1996,2480,1
821,Universidad de Buenos Aires / UBA,,,2505,2
955,Universidad de Palermo,Computer Science degree,2017 – 2022,2564,6
956,Flight Center,"Simulator Instructor, Aeronautics/Aviation/Aerospace Science and Technology, General",2020 – 2020,2564,6
957,Flight Center,Commercial Pilot with Instrument and Night Rating,2018 – 2018,2564,6
958,AYRSA,Restricted Radio Operator Certificate,2017 – 2017,2564,6
959,PSA Servicios Aéreos,Private Pilot,2015 – 2017,2564,6
960,Escuela Tecnica ORT,"Bachelor's degree with IT specialization, Computer Science",2011 – 2016,2564,6
961,UNNE,,,2565,1
987,Universidad Nacional de Rosario,Electronic Engineering,2020 – 2024,2579,2
988,Duoc UC,"Biomedical Informatics, Medical Informatics",2010 – 2013,2579,2
1023,National Technological University,"Master, Information Systems Engineering",2018 – 2021,2597,2
